icd_code,disease_name,chapter,synonyms,short_desc
K640,First degree hemorrhoids,Digestive,,
K650,Generalized (acute) peritonitis,Digestive,,
K660,Peritoneal adhesions (postprocedural) (postinfection),Digestive,,
K682,Retroperitoneal fibrosis,Digestive,,
K700,Alcoholic fatty liver,Digestive,,
K710,Toxic liver disease with cholestasis,Digestive,,
K730,"Chronic persistent hepatitis, not elsewhere classified",Digestive,,
K741,Hepatic sclerosis,Digestive,,
K750,Abscess of liver,Digestive,,
L011,Impetiginization of other dermatoses,Skin,,
L040,"Acute lymphadenitis of face, head and neck",Skin,,
L080,Pyoderma,Skin,,
L100,Pemphigus vulgaris,Skin,,
L110,Acquired keratosis follicularis,Skin,,
L120,Bullous pemphigoid,Skin,,
L130,Dermatitis herpetiformis,Skin,,
L200,Besnier's prurigo,Skin,,
L210,Seborrhea capitis,Skin,,
L230,Allergic contact dermatitis due to metals,Skin,,
L240,Irritant contact dermatitis due to detergents,Skin,,
